Label (Grouping),    2017-unadjusted,    2018-unajusted,    2019-unadjusted,2017-adjusted,2018-adjusted,2019-adjusted
"Census Tract 27, Fayette County, Kentucky!!Median income (dollars)!!Estimate","43,929","52,096","61,563","50,957.64","58,868.48","68,950.56"
"Census Tract 28, Fayette County, Kentucky!!Median income (dollars)!!Estimate","70,357","76,653","76,050","81,614.12","86,617.89","85,176"
"Census Tract 29, Fayette County, Kentucky!!Median income (dollars)!!Estimate","57,372","60,307","63,906","66,551.52","68,146.91","71,574.72"
"Census Tract 30, Fayette County, Kentucky!!Median income (dollars)!!Estimate","40,236","37,797","37,190","46,673.76","42,710.61","41,652.8"
"Census Tract 31.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","33,816","35,964","39,614","39,226.56","40,639.32","44,367.68"
"Census Tract 31.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","45,775","48,114","51,625","53,099","54,368.82","57,820"
"Census Tract 32.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","49,423","49,750","53,125","57,330.68","56,217.5","59,500"
"Census Tract 32.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","35,419","37,483","41,475","41,086.04","42,355.79","46,452"
"Census Tract 33, Fayette County, Kentucky!!Median income (dollars)!!Estimate","50,602","50,074","46,484","58,698.32","56,583.62","52,062.08"
"Census Tract 34.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","37,059","40,362","42,917","42,988.44","45,609.06","48,067.04"
"Census Tract 34.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","28,036","32,865","33,642","32,521.76","37,137.45","37,679.04"
"Census Tract 34.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","56,020","57,089","55,703","64,983.2","64,510.57","62,387.36"
"Census Tract 34.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","56,903","55,583","56,335","66,007.48","62,808.79","63,095.2"
"Census Tract 34.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","60,346","63,833","57,316","70,001.36","72,131.29","64,193.92"
"Census Tract 35.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","38,255","38,713","42,473","44,375.8","43,745.69","47,569.76"
"Census Tract 35.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","38,472","39,464","37,969","44,627.52","44,594.32","42,525.28"
"Census Tract 35.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","33,326","33,988","36,726","38,658.16","38,406.44","41,133.12"
"Census Tract 36, Fayette County, Kentucky!!Median income (dollars)!!Estimate","87,402","88,472","91,404","101,386.32","99,973.36","102,372.48"
"Census Tract 37.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","89,107","91,250","93,750","103,364.12","103,112.5","105,000"
"Census Tract 37.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","60,298","65,809","69,015","69,945.68","74,364.17","77,296.8"
"Census Tract 37.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","76,786","81,145","95,357","89,071.76","91,693.85","106,799.84"
"Census Tract 37.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","82,375","81,930","78,860","95,555","92,580.9","88,323.2"
"Census Tract 38.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","51,780","67,206","67,212","60,064.8","75,942.78","75,277.44"
"Census Tract 38.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","62,226","63,608","75,219","72,182.16","71,877.04","84,245.28"
"Census Tract 38.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","31,297","41,005","43,175","36,304.52","46,335.65","48,356"
"Census Tract 39.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","91,917","97,279","102,957","106,623.72","109,925.27","115,311.84"
"Census Tract 39.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","87,045","82,109","86,903","100,972.2","92,783.17","97,331.36"
"Census Tract 39.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","50,129","61,667","53,750","58,149.64","69,683.71","60,200"
"Census Tract 39.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","39,286","44,156","43,865","45,571.76","49,896.28","49,128.8"
"Census Tract 39.11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","40,377","40,574","38,953","46,837.32","45,848.62","43,627.36"
"Census Tract 39.12, Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,894","50,357","52,429","68,317.04","56,903.41","58,720.48"
"Census Tract 39.13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","103,939","107,262","109,490","120,569.24","121,206.06","122,628.8"
"Census Tract 39.14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","65,263","77,011","84,167","75,705.08","87,022.43","94,267.04"
"Census Tract 39.15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","107,155","122,344","118,750","124,299.8","138,248.72","133,000"
"Census Tract 39.16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","131,250","131,750","134,375","152,250","148,877.5","150,500"
"Census Tract 39.17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","65,385","60,938","62,153","75,846.6","68,859.94","69,611.36"
"Census Tract 39.18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","89,318","86,926","87,656","103,608.88","98,226.38","98,174.72"
"Census Tract 40.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","40,247","39,057","43,878","46,686.52","44,134.41","49,143.36"
"Census Tract 40.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","53,137","59,592","62,449","61,638.92","67,338.96","69,942.88"
"Census Tract 40.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","125,250","124,732","128,250","145,290","140,947.16","143,640"
"Census Tract 40.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","148,214","193,000","228,125","171,928.24","218,090","255,500"
"Census Tract 40.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","62,067","88,125","81,250","71,997.72","99,581.25","91,000"
"Census Tract 41.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","44,783","49,622","68,125","51,948.28","56,072.86","76,300"
"Census Tract 41.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","44,403","42,284","41,250","51,507.48","47,780.92","46,200"
"Census Tract 41.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","70,682","72,604","80,635","81,991.12","82,042.52","90,311.2"
"Census Tract 41.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","100,997","102,827","103,871","117,156.52","116,194.51","116,335.52"
"Census Tract 41.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","90,710","94,574","93,438","105,223.6","106,868.62","104,650.56"
"Census Tract 42.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","71,758","62,813","63,836","83,239.28","70,978.69","71,496.32"
"Census Tract 42.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","99,936","99,861","97,410","115,925.76","112,842.93","109,099.2"
"Census Tract 42.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","110,956","126,563","127,798","128,708.96","143,016.19","143,133.76"
"Census Tract 42.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","96,139","99,063","102,478","111,521.24","111,941.19","114,775.36"
"Census Tract 42.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","81,518","79,871","82,902","94,560.88","90,254.23","92,850.24"
"Census Tract 42.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","72,050","74,825","74,770","83,578","84,552.25","83,742.4"
