Label (Grouping),    Households
"Census Tract 40.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","48,257"
"Census Tract 40.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","56,743"
"Census Tract 40.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","113,846"
"Census Tract 40.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","208,182"
"Census Tract 40.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","95,952"
"Census Tract 41.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","51,846"
"Census Tract 41.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","43,571"
"Census Tract 41.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","91,479"
"Census Tract 41.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","106,029"
"Census Tract 41.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","115,723"
"Census Tract 42.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","64,391"
"Census Tract 42.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","101,517"
"Census Tract 42.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","146,765"
"Census Tract 42.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","112,219"
"Census Tract 42.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","84,364"
"Census Tract 42.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","76,705"
