"Census Tract 37.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","121,953"
"Census Tract 37.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","75,676"
"Census Tract 37.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","76,782"
"Census Tract 37.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","85,781"
"Census Tract 38.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,492"
"Census Tract 38.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","76,273"
"Census Tract 38.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","42,706"
"Census Tract 39.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","107,273"
"Census Tract 39.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","88,718"
"Census Tract 39.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,182"
"Census Tract 39.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","44,688"
"Census Tract 39.11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","38,857"
"Census Tract 39.12, Fayette County, Kentucky!!Median income (dollars)!!Estimate","64,695"
"Census Tract 39.13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","117,069"
"Census Tract 39.14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,423"
"Census Tract 39.15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","116,397"
"Census Tract 39.16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","137,604"
"Census Tract 39.17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,620"
"Census Tract 39.18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","90,595"
"Census Tract 40.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","42,333"
"Census Tract 40.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","54,838"
"Census Tract 40.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","125,278"
"Census Tract 40.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","209,583"
"Census Tract 40.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","91,023"
"Census Tract 41.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","55,859"
"Census Tract 41.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","46,680"
"Census Tract 41.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","94,655"
"Census Tract 41.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","99,894"
"Census Tract 41.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","121,125"
"Census Tract 42.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","61,875"
"Census Tract 42.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","96,958"
"Census Tract 42.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","131,280"
"Census Tract 42.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","105,857"
"Census Tract 42.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","80,132"
"Census Tract 42.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","67,629"
